id,title,author,category,ean_isbn13,upc_isbn10,description,publisher,publish_date,added,length
1,1 & 2 Thessalonians (Reformed Expository Commentary),Richard D. Phillips,Commentaries,9781596389779,159638977X,"Years before writing Romans or Ephesians, Paul sent a pair of letters to a new church in Thessalonica. Three concerns governed Paul's teaching in these letters: What makes a healthy church? How should we view God's Word? What does a Christian life look like? Richard D. Phillips's commentary considers these foundational issues in a scholarly, pastoral, and practical manner and also explores Paul's end-times teaching—the clearest found in the New Testament. Through these studies, readers will find a refreshingly clear biblical summary of what will happen before, during, and after the Second Coming. Just as importantly, by touring Paul's singular teaching in 1 and 2 Thessalonians, readers will recover a joyful anticipation of Christ's return and receive hope for life in a challenging world.",P &amp; R Publishing,2015-11-13,2023-05-20,480
2,1 Kings (Reformed Expository Commentary),Philip Graham Ryken,Commentaries,9781596382084,1596382082,"Dynasties, fractured kingdoms, prophecies of coming hardships -- the book of 1 Kings is a grand, sweeping narrative of the beginning of the downfall of God&#039;s people. Its size and scope may seem intimidating, but Phil Ryken shows us in this biblical, doctrinal, practical, and Christological commentary how this imposing book can be divided into three key sections. First, the stories of Solomon focus on the themes of money, sex, and power, inviting us to learn from Solomon&#039;s example. Will we use these things wisely for kingdom purposes or foolishly abuse them for selfish gain? Then the middle of the story, on the divided kingdom, shows the destructive consequences of sin among the people of God -- especially the sin of idolatry. The final section demonstrates the power of prayer to the true and living God, as exemplified in the life and ministry of God&#039;s prophet Elijah.Phil Ryken brings out the key themes of these three sections and illustrates how they come together in their focus on the gospel of Jesus Christ, especially his kingly and prophetic offices. This is an excellent resource for those who want a devotional aid and will help Bible expositors reliably teach a redemptive-historical view of this important Old Testament book.",P & R Publishing,2011-05-09,2023-05-20,636
3,1 Peter,Daniel M. Doriani,Commentaries,9781596384699,1596384697,Dan Doriani explores how Peter presents both the effective work of Jesus for us and his personal work in usand how this enables us to live faithfully amidst trials.,P & R Publishing,2014-10-01,2023-05-20,288
4,1 Samuel (Reformed Expository Commentary),Richard D. Phillips,Commentaries,9781596381971,1596381973,"David is more than a great hero, a man of faith, and a model for Christians to follow. He is one of the most important Old Testament types of Jesus Christ. It is as an anointed one--called and provided by God to lead Israel--that David plays his chief role in redemptive history and makes his distinctive contribution in preparing God&#039;s people for the Anointed One, the Messiah who comes to rule and to save.Two other significant figures--Samuel and Saul--appear in 1 Samuel. Samuel, an epochal figure whose significance equals that of Joshua, guides Israel out of the chaotic period of the judges and serves the coming of the Davidic kingdom. Saul, an alter ego first to Samuel and then to David, personifies the idolatry and unbelief that plague Israel throughout the Old Testament. The ways in which he contrasts with Samuel and David provide valuable spiritual lessons. The lesser characters in 1 Samuel are hardly incidental: Eli the corrupted priest, Hannah the tearful believer, and Jonathan the faithful friend, to name just three.As are all the books in the Reformed Expository Commentary series, this exposition of 1 Samuel is accessible to both pastors and lay readers. Each volume in the series provides exposition that gives careful attention to the biblical text, is doctrinally Reformed, focuses on Christ through the lens of redemptive history, and applies the Bible to our contemporary setting.",P & R Publishing,2012-05-20,2023-05-20,576
5,1 Timothy (Reformed Expository Commentary),Philip Graham Ryken,Commentaries,9781596380493,1596380497,"From worship and prayer to family and the use of money, the book of 1 Timothy is full of implications for life in the local church. But beyond these practical truths for all believers, Ryken writes, &quot;Paul&#039;s purpose in 1 Timothy is to help his spiritual son remain true.&quot; Thus the book has special application to those in gospel ministry. These truths that helped Timothy in his day are just as applicable to church leaders in ours -- both for personal godliness and for the collective life of the church. Whether for personal study or sermon preparation, Ryken&#039;s exposition is a sure guide to all who are interested in this pastoral epistle. As are all of the books in the Reformed Expository Commentary series, this exposition of 1 Timothy is accessible to both pastors and lay readers. Each volume in the series provides exposition that gives careful attention to the biblical text, is doctrinally Reformed, focuses on Christ through the lens of redemptive history, and applies the Bible to our contemporary setting.",P & R Publishing,2007-06-01,2023-05-20,312
6,1-3 John (Reformed Expository Commentary),Douglas Sean O'Donnell,Commentaries,9781596389878,1596389877,"How can we know that we possess eternal life? The apostle John answered that question in the three epistles that bear his name. He wrote that we must firstly believe that Jesus is the Son of God and that Christ came in the flesh. Secondly, we are to obey God's commandments. Thirdly, we must love others.In this illuminating and engaging commentary on John's letters, pastor-scholar Douglas Sean O'Donnell illustrates and applies these three essential tests that judge whether we possess eternal life or not. Grow in your knowledge of Christ, our Savior. Learn how to live in the light. Grab hold of the gospel-transformed life!",P &amp; R Publishing,2015-09-30,2023-05-20,240
7,2 Kings,Philip G. Ryken,Commentaries,9781629954462,1629954462,"The book of 2 Kings is the tale of two kingdoms,"",e,""Israel and Judah,"",e,""and also the story of a prophet greater than Elijah, Elisha son of Shaphat. Although the book's overarching narrative is one of tragic decline leading to exile, hope remains as God again and again fulfills his promise to never to let go of the line of David. In this Reformed Expository Commentary, Philip Graham Ryken traces the overarching narrative of 2 Kings, connects it to Christ, and explores its applications for ordinary Christians in today's world. This historical book has everyday relevance as it shows God's concern for people in serious need as well as the near- and long-term consequences of idolatry. Most important, it prepares us to see our need for the true and greatest Prophet and King.",P &amp; R Publishing,2019-05-01,2023-05-20,
8,2 Samuel (Reformed Expository Commentary),Richard D Phillips,Commentaries,9781629954585,1629954586,"Blessed through God's anointing, King David binds together a broken nation and gives his people victory—until, distracted, he is overcome by sin. The sword of God's judgment then falls on David and his house, but even as David is humbled, he returns penitently to the Lord.Richard Phillips's expository commentary carries us with David up to the heights and down to the depths, noting the lessons for our faith today—forgiveness doesn't cancel consequences; leadership doesn't exclude accountability; even flawed characters can end well—and exalting Jesus Christ, David's greater Son, as the true King our salvation requires.As are all Reformed Expository Commentaries, this book is accessible to both pastors and lay readers. Each volume in the series gives careful attention to the biblical text, is doctrinally Reformed, focuses on Christ through the lens of redemptive history, and applies the Bible to our contemporary setting.",P &amp; R Publishing,2018-11-30,2023-05-20,504
9,2 Timothy and Titus,"Daniel M. Doriani, Richard D. Phillips",Commentaries,9781629957883,1629957887,"""The apostle Paul is sometimes accused of being more cerebral than practical-but the letters 2 Timothy and Titus brim with applications of God's grace for ministry and daily life""--",P &amp; R Publishing,2020-06-01,2023-05-20,
10,A Better Way: Rediscovering the Drama of God-Centered Worship,Michael Horton,Liturgy Worship,9780801064685,0801064686,"Now in paper!&quot;There is a distinct weariness with market-driven, showbiz worship. The pendulum has swung to the longing for transcendence, substance, challenge, and biblically driven worship. Michael Horton shows us the way.&quot;  --Robert Webber, president, Institute for Worship Studies; author of Ancient-Future Faith&quot;Horton&#039;s enlivening wisdom is surely a godsend to all evangelicals.&quot;  --J. I. Packer, Regent College",Baker Books,2003-05-01,2023-06-17,256
